,charis10,charis11,charis12,charis13,charis1,charis2,charis3,charis4,charis5,charis6,charis7,charis8,charis9
charis10,1.0,0.013995999498967574,-0.006098275346672865,-0.022057101927560555,0.018081267864377765,-0.016651497020812183,-3.5140714445773496e-05,0.004191339016738997,0.008143565169121951,-0.0033214403369060965,-0.007670718902940086,-0.015476451330776662,-0.00394571875947341
charis11,0.013995999498967574,1.0,-0.058822523830052806,-0.03702144837252569,0.01611811235687165,-0.025476701348014393,0.008210690543131604,-0.000923189003068196,0.016312391218405956,0.0005853811256047402,-0.009276405485947475,0.008740456025477735,0.00815696174131483
charis12,-0.006098275346672865,-0.058822523830052806,1.0,0.0945213538753639,-0.012548904264270352,0.042899527584390224,-0.0012134186445289061,-0.011274886417976276,-0.023866789432533675,0.01352690721918573,0.022434382680410994,0.00442419834087403,-0.009145286849057641
charis13,-0.022057101927560555,-0.03702144837252569,0.0945213538753639,1.0,-0.013458587981739439,0.018672726668969214,0.07201968888879025,0.01085543335126771,-0.02304136547972476,-0.014257745210146175,0.02614312132760452,0.006412039612152889,-0.013624932270855676
charis1,0.018081267864377765,0.01611811235687165,-0.012548904264270352,-0.013458587981739439,1.0,-0.0045305033808259575,0.006804246278109814,-0.0024422038638948133,0.0005851757541167114,-0.004997742595607128,-0.009816724561558427,0.017430766424603325,0.003883772794490234
charis2,-0.016651497020812183,-0.025476701348014393,0.042899527584390224,0.018672726668969214,-0.0045305033808259575,1.0,-0.002016241737974609,0.0030015930907317553,-0.011293519668048937,0.002166808913101167,0.017497184511241614,-0.005810405197762009,-0.005190910349270132
charis3,-3.5140714445773496e-05,0.008210690543131604,-0.0012134186445289061,0.07201968888879025,0.006804246278109814,-0.002016241737974609,1.0,0.005137943106747222,0.002978343951973693,-0.03854919983810092,0.0032661246722224344,-0.0040574880475052096,0.011718317187470306
charis4,0.004191339016738997,-0.000923189003068196,-0.011274886417976276,0.01085543335126771,-0.0024422038638948133,0.0030015930907317553,0.005137943106747222,1.0,-0.0044446673563645865,0.0022726031391795526,0.0051729614132014195,-0.003914058177425848,0.0016441572896769116
charis5,0.008143565169121951,0.016312391218405956,-0.023866789432533675,-0.02304136547972476,0.0005851757541167114,-0.011293519668048937,0.002978343951973693,-0.0044446673563645865,1.0,-0.001040361257445595,-0.011210503970441571,0.005914942743838277,-0.0005247218991731477
charis6,-0.0033214403369060965,0.0005853811256047402,0.01352690721918573,-0.014257745210146175,-0.004997742595607128,0.002166808913101167,-0.03854919983810092,0.0022726031391795526,-0.001040361257445595,1.0,-0.009000528139627033,0.002063247040195343,-0.002939868605932095
charis7,-0.007670718902940086,-0.009276405485947475,0.022434382680410994,0.02614312132760452,-0.009816724561558427,0.017497184511241614,0.0032661246722224344,0.0051729614132014195,-0.011210503970441571,-0.009000528139627033,1.0,-0.0039018310608313978,-0.0025418513019890886
charis8,-0.015476451330776662,0.008740456025477735,0.00442419834087403,0.006412039612152889,0.017430766424603325,-0.005810405197762009,-0.0040574880475052096,-0.003914058177425848,0.005914942743838277,0.002063247040195343,-0.0039018310608313978,1.0,-0.020016547133754146
charis9,-0.00394571875947341,0.00815696174131483,-0.009145286849057641,-0.013624932270855676,0.003883772794490234,-0.005190910349270132,0.011718317187470306,0.0016441572896769116,-0.0005247218991731477,-0.002939868605932095,-0.0025418513019890886,-0.020016547133754146,1.0
